application,quality_check_id,solution,note
ezeml,title_01,,
ezeml,title_02,,
ezeml,title_01_ds,,
ezeml,creators_01,,
ezeml,creators_01_ds,,
ezeml,responsible_party_01,,
ezeml,responsible_party_02,,
ezeml,responsible_party_03,,
ezeml,responsible_party_04,,
ezeml,responsible_party_05,,
ezeml,responsible_party_06,,
ezeml,responsible_party_01_ds,,
ezeml,responsible_party_02_ds,,
ezeml,responsible_party_03_ds,,
ezeml,responsible_party_04_ds,,
ezeml,responsible_party_05_ds,,
ezeml,responsible_party_06_ds,,
ezeml,abstract_01,,
ezeml,abstract_02,,
ezeml,keywords_01,,
ezeml,keywords_02,,
ezeml,intellectual_rights_01,,
ezeml,coverage_01,,
ezeml,geographic_coverage_00,,
ezeml,geographic_coverage_01,,
ezeml,geographic_coverage_02,,
ezeml,geographic_coverage_03,,
ezeml,geographic_coverage_04,,
ezeml,geographic_coverage_05,,
ezeml,geographic_coverage_06,,
ezeml,geographic_coverage_07,,
ezeml,geographic_coverage_08,,
ezeml,taxonomic_coverage_01,,
ezeml,taxonomic_coverage_02,,
ezeml,temporal_coverage_00,,
ezeml,data_table_01,,
ezeml,data_table_02,,
ezeml,data_table_03,,
ezeml,data_table_04,,
ezeml,data_table_05,,
ezeml,data_table_06,,
ezeml,data_table_07,,
ezeml,data_table_08,ezeml-data_table_08.md,
ezeml,data_table_09,,
ezeml,data_table_10,,
ezeml,data_table_11,,
ezeml,attributes_01,,
ezeml,attributes_02,,
ezeml,attributes_03,,
ezeml,attributes_04,,
ezeml,attributes_05,,
ezeml,attributes_06,,
ezeml,attributes_07,,
ezeml,attributes_08,,
ezeml,attributes_08,,
ezeml,attributes_09,,ecc_id throws a broad exception for the more precise ezeml_id quality check.
ezeml,attributes_10,,
ezeml,attributes_11,,
ezeml,attributes_12,,
ezeml,attributes_13,,
ezeml,methods_01,,
ezeml,methods_02,,
ezeml,methods_03,,
ezeml,methods_04,,
ezeml,project_01,,
ezeml,project_02,,
ezeml,project_03,,
ezeml,project_04,,
ezeml,project_05,,
ezeml,other_entity_01,,
ezeml,other_entity_02,,
ezeml,other_entity_03,,
ezeml,other_entity_04,,
ezeml,other_entity_05,,
ezeml,contacts_01,,
ezeml,contacts_01_ds,,
ezeml,maintenance_01,,
ezeml,data_package_id_01,,
ezeml,data_package_id_02,,
ecc,titleLength,ecc-titleLength.md,
ecc,datasetAbstractLength,ecc-datasetAbstractLength.md,
ecc,keywordPresent,ecc-keywordPresent.md,
ecc,coveragePresent,ecc-schemaValid.md,"Exceptions arising from this check are raised in the schemaValid check. Therefore, we are collating all exceptions related to the schemaValid check in one solution document, where users can browse to find the particular issue they have encountered."
ecc,geographicCoveragePresent,ecc-geographicCoveragePresent.md,
ecc,temporalCoveragePresent,,
ecc,duplicateEntityName,,
ecc,entityDescriptionPresent,,
ecc,recordDelimiterPresent,ecc-recordDelimiterPresent.md,
ecc,entitySizePresence,,
ecc,integrityChecksum,,
ecc,numberOfRecords,,
ecc,dateFormatMatches,,
ecc,dateTimeFormatString,,
ecc,schemaValid,,
ecc,methodsElementPresent,,
ecc,duplicateEntityName,,
ecc,externallyDefinedFormatPresence,,
ecc,entityDescriptionPresent,,
ecc,packageIdPattern,,
ecc,attributeNamesUnique,,
ecc,databaseTableCreated,,
ecc,dataLoadStatus,,
ecc,displayDownloadData,,
ecc,displayFirstInsertRow,,
ecc,emlVersion,,
ecc,entityNameLength,,
ecc,entitySizeCongruence,,
ecc,examineRecordDelimiter,,
ecc,fieldDelimiterValid,,
ecc,fundingPresence,,
ecc,integrityChecksumPresence,,
ecc,numFooterLinesPresent,,
ecc,numHeaderLinesPresent,,
ecc,onlineURLs,,
ecc,parserValid,,
ecc,pastaDoiAbsent,,
ecc,schemaValid,,
ecc,schemaValidDereferenced,,
ecc,schemaValidDereferenced,,
ecc,taxonomicCoveragePresent,,
ecc,urlReturnsData,,
ecc,pubDatePresent,,
ecc,tooFewFields,,
ecc,tooManyFields,,
ecc,headerRowAttributeNames,,
ecc,numberOfRecordsPresence,,
